Anos
479845,61
509668,80
531415,18
521776,79
470846,68
507417,97
555847,04
578730,16
549421,13
485817,44
475148,72
493816,04
550593,65
580025,96
503793,14
569367,53
521513,64
512346,45
476026,40
477630,18
457101,04
496320,98
463766,80
513613,85
507055,20
394948,09
395636,30
413288,54
455621,43
585189,63
495556,22
561217,96
470390,86
434938,60
479773,52
522908,15
502739,17
448298,14
408082,08
407594,06
442443,52
464167,33
461827,31
482218,79
459662,45
470444,55
454140,63
436882,10
468301,25
435544,92
440105,32
513772,16
404940,12
459306,62
475244,42
439537,48
467721,55
466611,53
448780,82
480541,50
438051,60
444609,31
504989,29
446568,81
456718,48
461925,03
463925,06
445081,39
485869,66
456940,41
541988,38
477443,19
457961,50
510662,37
456962,76
484197,55
453991,58
447888,03
509243,89
462795,08
450495,66
438131,30
473611,13
520659,04
505695,26
420457,31
465774,36
517228,93
483533,21
477941,86
450657,25
452898,66
425234,34
516118,10
475939,88
521702,32
506282,22
521665,93
445950,39
478125,89
486390,06
454595,70
499314,22
449784,89
493331,75
508979,72
465777,18
428331,82
488855,22
468942,68
438540,03
455880,09
473455,04
469278,80
473780,58
458825,34
474576,30
440142,15
450474,72
502916,97
490189,22
484347,98
566052,27
536880,61
583521,52
531069,45
479831,06
520911,68
513929,50
495206,56
473279,71
465700,32
613399,28
536492,95
538247,12
449683,69
410311,77
464575,16
442919,78
419987,01
436516,03
485403,09
476955,02
495242,97
457930,53
504118,03
435341,06
469280,86
478857,88
480788,12
406677,41
492788,79
489983,22
420160,84
457323,21
520824,26
438519,24
439452,43
486696,20
526613,93
554029,78
459396,64
452235,60
489400,43
480722,05
468420,43
509940,45
532537,21
456655,37
469240,61
480169,13
493024,14
512560,92
477075,51
434564,13
516429,00
491773,56
427580,58
417959,96
517135,53
462320,24
462584,05
526279,65
509010,26
475218,86
473875,70
558476,82
513351,87
467497,57
378218,68
517351,29
455982,24
471202,95
513088,35
424076,89
420594,86
439510,41
507989,07
427384,55
455718,42
523489,62
526226,65
507750,57
496370,07
529995,43
545636,94
486811,22
441835,67
482388,09
478315,88
531203,58
424434,03
391605,53
473069,69
449675,03
498364,60
519905,87
461411,21
460216,43
463635,45
461447,05
515625,08
545628,24
485707,28
406698,12
409979,91
407739,67
511779,33
443472,80
461071,30
454155,13
514341,32
560417,51
594996,64
505077,12
458535,68
431800,35
440328,86
502761,64
510484,29
519081,79
489158,19
483213,86
417572,88
404966,72
437143,62
413854,74
502498,66
453778,98
453837,72
449173,85
427307,02
453210,46
480227,10
503979,37
477504,35
479288,87
437584,99
453563,44
407063,11
486843,17
465845,00
503513,66
458247,04
511337,68
452826,51
489751,17
518319,22
477916,70
471715,44
497655,65
444678,41
451426,38
415370,04
422814,99
402502,70
519543,38
470004,53
485476,68
445548,16
502112,27
453317,46
481798,74
474133,57
447612,68
516032,34
566691,73
466393,47
526568,39
568996,21
550353,93
458616,69
461916,86
525583,62
523197,36
439668,63
444795,85
524294,91
502918,34
484552,77
483057,80
495926,29
467075,97
455146,56
577947,78
498599,36
510524,26
482940,70
399470,04
505256,65
562792,61
454311,92
463208,04
519525,15
475474,82
394070,96
420967,65
525153,11
499791,82
429995,94
454557,77
518021,47
529233,25
476283,26
475645,73
400583,98
367163,82
450096,25
447924,02
404727,92
552737,44
523712,94
443516,53
457132,75
439579,81
490028,37
464666,65
492793,91
533529,05
554899,00
500783,14
503962,53
476874,74
436330,68
467318,61
495711,56
532783,73
404782,25
436520,57
464640,48
477045,58
431214,25
472885,39
479528,10
449098,21
383385,44
511869,95
515972,05
493445,05
444610,20
476760,76
500425,58
430450,45
389506,48
409454,81
515437,56
495201,53
472716,70
531746,04
509040,60
521621,29
538634,67
537669,69
503583,55
532335,50
460582,32
428859,48
485363,41
489516,80
594976,44
538454,85
595423,61
471739,14
530429,45
460684,91
498118,18
497215,86
448231,53
452058,57
444838,17
470094,59
530550,92
466929,03
590637,23
578396,01
517907,56
463205,30
442823,89
478652,27
488699,28
504193,48
474687,05
577364,58
542141,37
623648,50
514777,25
521267,65
493678,58
598348,55
465972,05
570938,22
520850,84
446771,96
490231,99
468670,03
478233,33
529051,15
519908,63
483817,47
537210,43
442262,68
413926,66
540063,59
470449,50
585039,16
520825,06
451011,28
435703,68
452596,41
561124,63
480220,14
499577,85
472346,21
530896,71
497574,89
467063,80
505818,41
515506,81
518266,85
472259,75
422023,17
498349,16
456031,11
454795,93
515538,55
414142,60
431790,03
488100,68
495936,31
483926,22
514477,45
481139,30
503251,47
545428,08
481634,13
382555,35
427273,98
481342,52
487775,51
408926,45
498360,34
513508,90
506940,27
451117,99
500579,47
463557,21
510035,81
544886,13
488365,07
459479,69
465054,29
461855,42
486134,85
397507,04
454409,73
475164,60
513142,51
447063,04
435884,84
